respondent_id,persona,age_group,gender,city_tier,occupation,income_band,monthly_income_inr,purchase_frequency,preferred_categories,purchase_motivation,brand_affinity,brand_tier_score,resale_experience,preferred_channel,resale_pain_points,counterfeit_concern,auth_premium_willingness,escrow_preference,style_subcategories,watch_styles,color_material_pref,occasion_usage,avg_spend_band,avg_spend_inr,annual_budget_band,annual_budget_inr,resale_new_pref_score,desired_features,trust_drivers,adoption_likelihood,adoption_score,adoption_binary,discovery_channel,research_days,social_influence_source,peer_spend_band,price_switch_threshold_pct,incumbent_platform_trust,festive_purchase,trust_composite_score,spend_to_income_ratio,category_diversity_score,feature_demand_score,research_days_flagged,high_spend_ratio_flag
LL_0387,Professional Reseller,35–44,Male,Tier 1 (Metro),Student,"₹1,00,001–₹2,50,000",175000,Multiple times a month,"Sneakers & Footwear, Small Leather Goods, Apparel & Ready-to-Wear","Personal reward / self-indulgence, Gifting to others","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – both bought and sold,Darveys / Luxepolis / Confidential Couture (India),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery",4,3,3,"Casual/tote bags (Neverfull, Speedy)",Not applicable,"Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Minimalist / logo-free aesthetic, Gold hardware preference",Long-term investment / asset to hold,"₹1,50,001–₹5,00,000",325000,"₹3,00,001–₹10,00,000",650000,10,"Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker",Transparent pricing benchmarks,Very Likely,5,1,Brand store / website,14,Peers / friends,"₹1,00,001–₹2,50,000",5,3,No,3.33,1.86,3,3,0,0
LL_0388,Cautious Explorer,25–34,Male,Tier 3 / Small Town,Salaried – Private,"₹50,000–₹1,00,000",75000,Once every 2–3 months,"Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear",Investment / asset appreciation,"Entry-level luxury (Fossil, Michael Kors, Coach)",1,Yes – both bought and sold,OLX / Quikr (classifieds),"Risk of counterfeit / fake items, Difficulty verifying item condition, Complicated or risky payment process, Unreliable logistics and delivery, No post-sale recourse or return policy",3,2,5,"Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White), Gold/diamond fine jewelry",Not applicable,"Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Minimalist / logo-free aesthetic, Gold hardware preference",Professional / office settings,"₹10,000–₹50,000",30000,"Below ₹25,000",15000,5,AI-powered authentication certificate,Media coverage and social proof,Very Unlikely,1,0,Friends & Family,65,Self-driven / independent,"₹50,000–₹1,00,000",38,1,No,3.33,0.4,5,1,0,0
LL_0389,HNW Collector,55+,Male,Tier 1 (Metro),Salaried – Private,"₹2,50,001–₹5,00,000",375000,2–3 times a year,"Handbags & Purses, Watches & Timepieces, Fine Jewelry & Accessories, Apparel & Ready-to-Wear","Gifting to others, Sustainability (pre-owned is eco-friendly)","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – bought only,Darveys / Luxepolis / Confidential Couture (India),"Risk of counterfeit / fake items, Unreliable logistics and delivery",5,3,5,"Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith)","Dress watches (Cartier Tank, Patek Calatrava)","Bold / statement colors (red, cobalt), Gold hardware preference, Silver hardware preference","Special events (weddings, parties), Long-term investment / asset to hold","Above ₹15,00,000",2000000,"Above ₹30,00,000",4000000,8,Blockchain-backed ownership record,"Partnerships with luxury brands, Transparent pricing benchmarks",Likely,4,1,Friends & Family,29,Self-driven / independent,"₹2,50,001–₹5,00,000",24,1,Yes,4.33,5.33,4,1,0,0
LL_0390,Cautious Explorer,45–54,Female,Tier 2,Salaried – Private,"Below ₹50,000",35000,Once every 2–3 months,Apparel & Ready-to-Wear,Status and social signaling,"Aspirational luxury (Gucci, Prada, Burberry)",3,"No, but open to it",OLX / Quikr (classifieds),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery, No post-sale recourse or return policy",4,3,5,"Structured handbags (Birkin, Classic Flap), Dress/sport watches (Submariner, Nautilus)","Sports/dive watches (Rolex Sub, AP Royal Oak), Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster), Vintage / classic pieces (pre-2000), Modern limited editions / collabs","Bold / statement colors (red, cobalt), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Gold hardware preference, Silver hardware preference","Daily / everyday use, Special events (weddings, parties), Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹3,00,001–₹10,00,000",650000,4,"AI-powered authentication certificate, Escrow payment protection, Portfolio / Vault tracker, Trade-in or buy-back guarantee","Partnerships with luxury brands, Physical authentication centers in India",Unlikely,2,0,Friends & Family,34,Self-driven / independent,"₹50,000–₹1,00,000",32,1,No,4.0,2.86,1,4,0,0
LL_0391,Professional Reseller,55+,Male,Tier 1 (Metro),Freelancer/Consultant,"Below ₹50,000",35000,Once a month,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Small Leather Goods, Apparel & Ready-to-Wear","Personal reward / self-indulgence, Investment / asset appreciation, Sustainability (pre-owned is eco-friendly)","Aspirational luxury (Gucci, Prada, Burberry)",3,"No, but open to it",Darveys / Luxepolis / Confidential Couture (India),"Risk of counterfeit / fake items, Difficulty verifying item condition, Complicated or risky payment process, Unreliable logistics and delivery, No post-sale recourse or return policy",3,4,5,"Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Gold/diamond fine jewelry","Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster)","Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained)",Daily / everyday use,"₹50,001–₹1,50,000",100000,"₹3,00,001–₹10,00,000",650000,9,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA","Verified seller ratings and reviews, Partnerships with luxury brands, Physical authentication centers in India",Very Likely,5,1,Online article / blog,9,Family,"₹50,000–₹1,00,000",20,3,No,4.0,2.86,5,7,0,0
LL_0392,Aspirational Professional,35–44,Male,Tier 2,Business Owner/Entrepreneur,"₹1,00,001–₹2,50,000",175000,Multiple times a month,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Small Leather Goods, Apparel & Ready-to-Wear","Status and social signaling, Investment / asset appreciation, Gifting to others","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – bought only,Have not used any platform,"Risk of counterfeit / fake items, No post-sale recourse or return policy",5,4,4,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Sneakers – Classic (Air Jordan, Stan Smith)",Not applicable,"Classic leather (smooth, grained)","Professional / office settings, Long-term investment / asset to hold","₹1,50,001–₹5,00,000",325000,"₹1,00,001–₹3,00,000",200000,6,"Blockchain-backed ownership record, Escrow payment protection, Dedicated customer support SLA","Verified seller ratings and reviews, Partnerships with luxury brands, Physical authentication centers in India",Unlikely,2,0,Instagram / Reels,27,Family,"₹1,00,001–₹2,50,000",23,2,No,4.33,1.86,5,3,0,0
LL_0393,Gen Z / Hype Buyer,35–44,Female,Tier 1 (Metro),Student,"₹1,00,001–₹2,50,000",175000,Once every 2–3 months,"Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods","Status and social signaling, Sustainability (pre-owned is eco-friendly)","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – bought only,Instagram / WhatsApp (informal),"Risk of counterfeit / fake items, Difficulty verifying item condition, Unreliable logistics and delivery",4,3,3,"Sneakers – Classic (Air Jordan, Stan Smith)",Not applicable,"Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt)","Special events (weddings, parties), Long-term investment / asset to hold","₹10,000–₹50,000",30000,"₹1,00,001–₹3,00,000",200000,6,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Trade-in or buy-back guarantee, Dedicated customer support SLA","Verified seller ratings and reviews, Transparent pricing benchmarks, Physical authentication centers in India",Very Likely,5,1,YouTube,2,Self-driven / independent,"₹1,00,001–₹2,50,000",32,4,Yes,3.33,0.17,4,6,0,0
LL_0394,Professional Reseller,25–34,Female,Tier 3 / Small Town,Business Owner/Entrepreneur,"₹2,50,001–₹5,00,000",375000,Once every 2–3 months,"Handbags & Purses, Fine Jewelry & Accessories","Personal reward / self-indulgence, Sustainability (pre-owned is eco-friendly)","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – both bought and sold,Darveys / Luxepolis / Confidential Couture (India),"Risk of counterfeit / fake items, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery",5,4,2,"Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Hype / Limited Edition (Yeezy, Off-White)",Not applicable,"Classic leather (smooth, grained), Monogram / logo-heavy designs","Special events (weddings, parties), Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹10,00,001–₹30,00,000",2000000,9,"Escrow payment protection, Live auctions / social bidding, Trade-in or buy-back guarantee",Physical authentication centers in India,Very Likely,5,1,Friends & Family,10,Social media influencers,"₹5,00,001–₹10,00,000",22,3,Yes,3.67,0.27,2,3,0,0
LL_0395,HNW Collector,45–54,Male,Tier 1 (Metro),Business Owner/Entrepreneur,"Above ₹10,00,000",1500000,Once a year or less,Watches & Timepieces,"Status and social signaling, Investment / asset appreciation, Gifting to others","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – both bought and sold,Vestiaire Collective / Tradesy (international),"Risk of counterfeit / fake items, Difficulty verifying item condition, Unreliable logistics and delivery, No post-sale recourse or return policy",5,4,5,"Dress/sport watches (Submariner, Nautilus)","Sports/dive watches (Rolex Sub, AP Royal Oak), Modern limited editions / collabs","Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Silver hardware preference","Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹5,00,001–₹15,00,000",1000000,"₹3,00,001–₹10,00,000",650000,8,Live auctions / social bidding,Partnerships with luxury brands,Very Likely,5,1,Brand store / website,117,Self-driven / independent,"Above ₹10,00,000",23,3,No,4.67,0.67,1,1,0,0
LL_0396,Gen Z / Hype Buyer,25–34,Female,Tier 2,Student,"Below ₹50,000",35000,Once every 2–3 months,"Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Status and social signaling, Investment / asset appreciation, Sustainability (pre-owned is eco-friendly)","Accessible luxury (Longchamp, Kate Spade, Tumi)",2,Yes – bought only,OLX / Quikr (classifieds),Lack of transparent pricing,4,4,5,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White)","Sports/dive watches (Rolex Sub, AP Royal Oak), Chronographs (Daytona, Speedmaster), Vintage / classic pieces (pre-2000), Modern limited editions / collabs",Silver hardware preference,"Daily / everyday use, Special events (weddings, parties)","Below ₹10,000",7500,"₹25,000–₹1,00,000",62500,7,"Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA","Media coverage and social proof, Transparent pricing benchmarks, Physical authentication centers in India",Neutral,3,0,Instagram / Reels,7,Peers / friends,"Below ₹50,000",19,2,No,4.33,0.21,5,3,0,0
LL_0397,Cautious Explorer,55+,Male,Tier 1 (Metro),Business Owner/Entrepreneur,"₹1,00,001–₹2,50,000",175000,Once a year or less,"Watches & Timepieces, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear",Personal reward / self-indulgence,"Entry-level luxury (Fossil, Michael Kors, Coach)",1,"No, not interested",Have not used any platform,"Risk of counterfeit / fake items, Lack of transparent pricing, Complicated or risky payment process, No post-sale recourse or return policy",4,2,4,"Casual/tote bags (Neverfull, Speedy), Sneakers – Classic (Air Jordan, Stan Smith)",Not applicable,"Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc), Minimalist / logo-free aesthetic, Gold hardware preference","Daily / everyday use, Special events (weddings, parties)","₹10,000–₹50,000",30000,"₹25,000–₹1,00,000",62500,8,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA",Verified seller ratings and reviews,Very Unlikely,1,0,Instagram / Reels,37,Self-driven / independent,"₹1,00,001–₹2,50,000",36,3,No,3.33,0.17,4,7,0,0
LL_0398,Aspirational Professional,25–34,Prefer not to say,Tier 2,Homemaker/Other,"₹2,50,001–₹5,00,000",375000,2–3 times a year,Fine Jewelry & Accessories,"Status and social signaling, Gifting to others, Sustainability (pre-owned is eco-friendly)","Aspirational luxury (Gucci, Prada, Burberry)",3,"No, but open to it",Vestiaire Collective / Tradesy (international),"Risk of counterfeit / fake items, Difficulty verifying item condition",3,4,5,"Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Gold/diamond fine jewelry",Not applicable,"Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Gold hardware preference","Daily / everyday use, Professional / office settings","₹10,000–₹50,000",30000,"₹3,00,001–₹10,00,000",650000,6,AI-powered authentication certificate,Transparent pricing benchmarks,Very Likely,5,1,Instagram / Reels,5,Social media influencers,"₹5,00,001–₹10,00,000",25,3,Yes,4.0,0.08,1,1,0,0
LL_0399,Gen Z / Hype Buyer,18–24,Female,Tier 2,Salaried – Private,"₹50,000–₹1,00,000",75000,Once a month,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Personal reward / self-indulgence, Status and social signaling","Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – bought only,Instagram / WhatsApp (informal),"Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery, No post-sale recourse or return policy",3,4,4,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Sneakers – Hype / Limited Edition (Yeezy, Off-White)","Sports/dive watches (Rolex Sub, AP Royal Oak), Dress watches (Cartier Tank, Patek Calatrava), Vintage / classic pieces (pre-2000), Modern limited editions / collabs","Exotic materials (python, ostrich, croc), Minimalist / logo-free aesthetic","Daily / everyday use, Special events (weddings, parties), Long-term investment / asset to hold","Below ₹10,000",7500,"₹25,000–₹1,00,000",62500,7,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Live auctions / social bidding","Media coverage and social proof, Transparent pricing benchmarks",Likely,4,1,Online article / blog,1,Social media influencers,"₹1,00,001–₹2,50,000",32,3,No,3.67,0.1,6,4,0,0
LL_0400,Gen Z / Hype Buyer,45–54,Female,Tier 1 (Metro),Student,"Below ₹50,000",35000,Once a month,"Handbags & Purses, Apparel & Ready-to-Wear",Personal reward / self-indulgence,"Accessible luxury (Longchamp, Kate Spade, Tumi)",2,Yes – bought only,OLX / Quikr (classifieds),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Unreliable logistics and delivery",3,3,4,"Casual/tote bags (Neverfull, Speedy), Sneakers – Classic (Air Jordan, Stan Smith)","Sports/dive watches (Rolex Sub, AP Royal Oak), Chronographs (Daytona, Speedmaster), Vintage / classic pieces (pre-2000), Modern limited editions / collabs","Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Classic leather (smooth, grained), Monogram / logo-heavy designs, Gold hardware preference","Special events (weddings, parties)","₹10,000–₹50,000",30000,"₹25,000–₹1,00,000",62500,5,"AI-powered authentication certificate, Blockchain-backed ownership record, Portfolio / Vault tracker, Live auctions / social bidding","Verified seller ratings and reviews, Media coverage and social proof, Physical authentication centers in India",Very Likely,5,1,Online article / blog,8,Social media influencers,"Below ₹50,000",26,2,Yes,3.33,0.86,2,4,0,0
LL_0401,Aspirational Professional,45–54,Female,Tier 2,Homemaker/Other,"Above ₹10,00,000",1500000,Once a month,"Handbags & Purses, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Status and social signaling, Investment / asset appreciation","Accessible luxury (Longchamp, Kate Spade, Tumi)",2,"No, but open to it",Darveys / Luxepolis / Confidential Couture (India),"Difficulty verifying item condition, Complicated or risky payment process, Unreliable logistics and delivery, No post-sale recourse or return policy",4,5,4,"Structured handbags (Birkin, Classic Flap), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith)","Sports/dive watches (Rolex Sub, AP Royal Oak), Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster), Vintage / classic pieces (pre-2000), Modern limited editions / collabs","Neutral tones (black, beige, tan), Bold / statement colors (red, cobalt), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Gold hardware preference, Silver hardware preference","Daily / everyday use, Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹1,50,001–₹5,00,000",325000,"₹1,00,001–₹3,00,000",200000,6,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA",Verified seller ratings and reviews,Very Likely,5,1,YouTube,13,Self-driven / independent,"Above ₹10,00,000",38,4,No,4.33,0.22,5,7,0,0
LL_0402,Cautious Explorer,35–44,Male,Tier 2,Business Owner/Entrepreneur,"₹50,000–₹1,00,000",75000,2–3 times a year,"Watches & Timepieces, Sneakers & Footwear, Small Leather Goods, Apparel & Ready-to-Wear",Sustainability (pre-owned is eco-friendly),"Aspirational luxury (Gucci, Prada, Burberry)",3,"No, but open to it",Darveys / Luxepolis / Confidential Couture (India),Difficulty verifying item condition,2,2,1,"Casual/tote bags (Neverfull, Speedy)","Dress watches (Cartier Tank, Patek Calatrava)",Gold hardware preference,"Professional / office settings, Special events (weddings, parties)","₹1,50,001–₹5,00,000",325000,"₹25,000–₹1,00,000",62500,3,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Dedicated customer support SLA","Verified seller ratings and reviews, Physical authentication centers in India",Likely,4,1,Friends & Family,48,Family,"₹50,000–₹1,00,000",45,2,No,1.67,4.33,4,5,0,0
LL_0403,Professional Reseller,25–34,Male,Tier 2,Freelancer/Consultant,"₹1,00,001–₹2,50,000",175000,Once a month,Fine Jewelry & Accessories,"Personal reward / self-indulgence, Gifting to others","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – both bought and sold,Instagram / WhatsApp (informal),"Risk of counterfeit / fake items, Lack of transparent pricing, Complicated or risky payment process, Unreliable logistics and delivery",4,4,5,"Structured handbags (Birkin, Classic Flap)","Dress watches (Cartier Tank, Patek Calatrava)",Silver hardware preference,Daily / everyday use,"₹10,000–₹50,000",30000,"₹1,00,001–₹3,00,000",200000,8,"AI-powered authentication certificate, Blockchain-backed ownership record, Portfolio / Vault tracker, Trade-in or buy-back guarantee, Dedicated customer support SLA","Media coverage and social proof, Transparent pricing benchmarks",Likely,4,1,Instagram / Reels,6,Self-driven / independent,"₹1,00,001–₹2,50,000",29,4,Yes,4.33,0.17,1,5,0,0
LL_0404,HNW Collector,45–54,Female,Tier 1 (Metro),Homemaker/Other,"Above ₹10,00,000",1500000,Once a month,"Watches & Timepieces, Fine Jewelry & Accessories, Apparel & Ready-to-Wear",Status and social signaling,"Aspirational luxury (Gucci, Prada, Burberry)",3,Yes – bought only,Darveys / Luxepolis / Confidential Couture (India),Unreliable logistics and delivery,4,4,5,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White), Gold/diamond fine jewelry",Vintage / classic pieces (pre-2000),"Neutral tones (black, beige, tan)","Professional / office settings, Long-term investment / asset to hold","₹5,00,001–₹15,00,000",1000000,"₹3,00,001–₹10,00,000",650000,7,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Dedicated customer support SLA","Media coverage and social proof, Transparent pricing benchmarks",Very Unlikely,1,0,Friends & Family,62,Self-driven / independent,"Above ₹10,00,000",27,3,Yes,4.33,0.67,3,5,0,0
LL_0405,Cautious Explorer,25–34,Female,Tier 1 (Metro),Salaried – Private,"₹50,000–₹1,00,000",75000,2–3 times a year,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Investment / asset appreciation, Sustainability (pre-owned is eco-friendly)","Accessible luxury (Longchamp, Kate Spade, Tumi)",2,"No, but open to it",Have not used any platform,"Risk of counterfeit / fake items, Lack of transparent pricing, Complicated or risky payment process, No post-sale recourse or return policy",3,3,5,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White)",Not applicable,"Bold / statement colors (red, cobalt), Classic leather (smooth, grained), Silver hardware preference","Daily / everyday use, Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹25,000–₹1,00,000",62500,6,"AI-powered authentication certificate, Blockchain-backed ownership record, Escrow payment protection, Portfolio / Vault tracker, Live auctions / social bidding",Verified seller ratings and reviews,Likely,4,1,Instagram / Reels,49,Family,"₹1,00,001–₹2,50,000",48,2,Yes,3.67,1.33,6,5,0,0
LL_0406,Cautious Explorer,45–54,Male,Tier 1 (Metro),Freelancer/Consultant,"Below ₹50,000",35000,2–3 times a year,Watches & Timepieces,"Status and social signaling, Gifting to others","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,"No, but open to it",Have not used any platform,"Risk of counterfeit / fake items, Difficulty verifying item condition",5,1,1,"Dress/sport watches (Submariner, Nautilus)",Not applicable,"Bold / statement colors (red, cobalt), Exotic materials (python, ostrich, croc), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Gold hardware preference, Silver hardware preference","Professional / office settings, Special events (weddings, parties)","₹10,000–₹50,000",30000,"Below ₹25,000",15000,5,"Blockchain-backed ownership record, Escrow payment protection, Live auctions / social bidding, Dedicated customer support SLA","Partnerships with luxury brands, Transparent pricing benchmarks, Physical authentication centers in India",Very Unlikely,1,0,Friends & Family,14,Peers / friends,"Below ₹50,000",43,1,Yes,2.33,0.86,1,4,0,0
LL_0407,Aspirational Professional,45–54,Female,Tier 1 (Metro),Salaried – Private,"Below ₹50,000",35000,Once a year or less,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Small Leather Goods, Apparel & Ready-to-Wear","Status and social signaling, Sustainability (pre-owned is eco-friendly)","Accessible luxury (Longchamp, Kate Spade, Tumi)",2,"No, not interested",Darveys / Luxepolis / Confidential Couture (India),Risk of counterfeit / fake items,4,3,5,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith), Sneakers – Hype / Limited Edition (Yeezy, Off-White), Gold/diamond fine jewelry",Not applicable,"Bold / statement colors (red, cobalt), Classic leather (smooth, grained), Monogram / logo-heavy designs, Minimalist / logo-free aesthetic, Gold hardware preference, Silver hardware preference","Daily / everyday use, Professional / office settings, Special events (weddings, parties), Long-term investment / asset to hold","₹50,001–₹1,50,000",100000,"₹10,00,001–₹30,00,000",2000000,7,AI-powered authentication certificate,"Verified seller ratings and reviews, Partnerships with luxury brands, Physical authentication centers in India",Very Likely,5,1,Brand store / website,31,Peers / friends,"₹50,000–₹1,00,000",41,3,Yes,4.0,2.86,5,1,0,0
LL_0408,Cautious Explorer,18–24,Female,Tier 3 / Small Town,Salaried – Private,"Below ₹50,000",35000,Once every 2–3 months,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Personal reward / self-indulgence, Status and social signaling, Sustainability (pre-owned is eco-friendly)","Aspirational luxury (Gucci, Prada, Burberry)",3,"No, not interested",Have not used any platform,"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process",4,3,5,"Casual/tote bags (Neverfull, Speedy)",Not applicable,"Neutral tones (black, beige, tan), Silver hardware preference","Daily / everyday use, Special events (weddings, parties), Long-term investment / asset to hold","Below ₹10,000",7500,"₹25,000–₹1,00,000",62500,4,"Portfolio / Vault tracker, Trade-in or buy-back guarantee","Partnerships with luxury brands, Media coverage and social proof, Physical authentication centers in India",Neutral,3,0,Instagram / Reels,64,Family,"Below ₹50,000",40,2,Yes,4.0,0.21,6,2,0,0
LL_0409,HNW Collector,45–54,Female,Tier 1 (Metro),Business Owner/Entrepreneur,"₹5,00,001–₹10,00,000",750000,Once every 2–3 months,"Watches & Timepieces, Fine Jewelry & Accessories","Investment / asset appreciation, Gifting to others","True luxury (Louis Vuitton, Chanel, Dior, Rolex)",4,Yes – bought only,Vestiaire Collective / Tradesy (international),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Unreliable logistics and delivery, No post-sale recourse or return policy",3,3,5,"Structured handbags (Birkin, Classic Flap), Casual/tote bags (Neverfull, Speedy)",Vintage / classic pieces (pre-2000),Gold hardware preference,Long-term investment / asset to hold,"₹5,00,001–₹15,00,000",1000000,"₹10,00,001–₹30,00,000",2000000,7,"AI-powered authentication certificate, Escrow payment protection, Live auctions / social bidding, Trade-in or buy-back guarantee, Dedicated customer support SLA",Media coverage and social proof,Very Likely,5,1,Friends & Family,119,Self-driven / independent,"Above ₹10,00,000",5,2,No,3.67,1.33,2,5,0,0
LL_0410,Cautious Explorer,25–34,Female,Tier 2,Salaried – Private,"₹1,00,001–₹2,50,000",175000,2–3 times a year,"Handbags & Purses, Watches & Timepieces, Sneakers & Footwear, Fine Jewelry & Accessories, Small Leather Goods, Apparel & Ready-to-Wear","Status and social signaling, Sustainability (pre-owned is eco-friendly)","Entry-level luxury (Fossil, Michael Kors, Coach)",1,"No, but open to it",Darveys / Luxepolis / Confidential Couture (India),"Risk of counterfeit / fake items, Difficulty verifying item condition, Lack of transparent pricing, Complicated or risky payment process, No post-sale recourse or return policy",4,2,4,"Structured handbags (Birkin, Classic Flap), Dress/sport watches (Submariner, Nautilus), Sneakers – Classic (Air Jordan, Stan Smith)","Sports/dive watches (Rolex Sub, AP Royal Oak), Dress watches (Cartier Tank, Patek Calatrava), Chronographs (Daytona, Speedmaster), Vintage / classic pieces (pre-2000)",Monogram / logo-heavy designs,"Daily / everyday use, Special events (weddings, parties), Long-term investment / asset to hold","₹10,000–₹50,000",30000,"₹25,000–₹1,00,000",62500,5,"AI-powered authentication certificate, Escrow payment protection, Portfolio / Vault tracker, Dedicated customer support SLA","Partnerships with luxury brands, Media coverage and social proof, Physical authentication centers in India",Neutral,3,0,Friends & Family,38,Self-driven / independent,"₹1,00,001–₹2,50,000",35,1,Yes,3.33,0.17,6,4,0,0
